;year;avgsentlen
FRA40743;1844;28.4226627313338
FRA40137;1853;25.2809742999616
FRA40622;1846;17.7035656401945
FRA40056;1883;22.7856101118133
FRA20097;1753;29.3769784172662
FRA40657;1890;18.8166373755126
FRA40407;1878;29.2168243953733
FRA20010;1761;27.5291181364393
FRA40345;1890;22.2664919178681
FRA40726;1844;29.2915563401
FRA20069;1799;32.6251518833536
FRA40101;1882;18.2667821126617
FRA06601;1902;20.0402272727273
FRA41174;1868;16.0855469567036
FRA20073;1757;19.7276763690183
FRA02603;1888;27.4333188531712
FRA40314;1858;24.4042771599658
FRA20094;1798;33.2397408207343
FRA05101;1904;20.6940656100258
FRA00101;1860;18.941265060241
FRA20012;1751;34.2783071127853
FRA40364;1858;35.4996558843771
FRA41029;1867;18.3794496825091
FRA40443;1843;24.2198739340007
FRA41160;1860;14.9131857070961
FRA40045;1887;30.5230037017451
FRA04002;1898;19.4088611358906
FRA40140;1855;29.8693467336683
FRA40014;1877;19.9664626370824
FRA04501;1908;23.5228884590587
FRA40656;1885;19.2462874754833
FRA20041;1766;42.2107699805068
FRA40444;1845;25.9946553378101
FRA40634;1862;20.7440668982981
FRA06301;1884;13.1462385583524
FRA40010;1852;20.0461152882206
FRA40412;1874;24.5669679539852
FRA40645;1862;17.9614628391663
FRA20000;1794;42.4624277456647
FRA40631;1869;21.7292385971288
FRA40176;1899;25.5850866336634
FRA07601;1913;18.0948334007824
FRA40029;1873;24.7587064676617
FRA40006;1882;28.7359617682198
FRA02501;1883;24.516685520362
FRA40147;1890;22.0535248041775
FRA40370;1876;19.5287192293971
FRA20062;1797;25.941416893733
FRA41150;1881;19.533527696793
FRA03703;1840;24.9391553328561
FRA40635;1872;17.2703922789539
FRA20092;1782;22.3605581078782
FRA40736;1842;25.2683225467903
FRA40099;1878;16.7896766169154
FRA40301;1881;24.1152737752161
FRA20050;1787;28.5982738328756
FRA40605;1868;19.5197825080981
FRA40628;1843;23.183327761061
FRA01903;1874;19.0432748538012
FRA40108;1889;19.5566762728146
FRA40738;1854;26.1788944723618
FRA40571;1841;23.6175514626219
FRA40417;1874;22.6795359071814
FRA04003;1866;23.0234406038935
FRA40610;1846;21.1717557251908
FRA40632;1868;16.6340917930766
FRA40142;1857;21.8648087755707
FRA20020;1796;18.5563391832049
FRA40565;1842;21.8542264752791
FRA40717;1897;20.0653447498873
FRA02001;1912;18.7342342342342
FRA40044;1898;30.4931113662457
FRA40027;1873;29.3694736842105
FRA41025;1872;18.8691342728821
FRA01203;1845;17.693352919574
FRA40082;1869;18.0201816347124
FRA20086;1761;22.5428396572827
FRA20054;1791;23.0998023715415
FRA40034;1869;32.6374770361298
FRA40313;1859;21.679494626779
FRA02803;1899;26.0531400966184
FRA20030;1761;36.9683018867925
FRA03003;1894;16.0939687668282
FRA20055;1767;27.8225308641975
FRA01101;1890;19.8743573264781
FRA20045;1787;28.6112941176471
FRA01902;1869;18.3008259755056
FRA20067;1785;23.6757493188011
FRA40737;1865;27.2849270664506
FRA01702;1857;37.9421487603306
FRA40735;1845;23.668039538715
FRA40624;1859;18.4479166666667
FRA20047;1772;23.1612903225806
FRA20026;1778;23.0095154442981
FRA20037;1764;27.5930388219545
FRA41156;1870;20.7118881118881
FRA40019;1881;27.3747334754797
FRA40055;1888;19.332292750607
FRA40414;1893;25.8888238736103
FRA20090;1764;15.7670585523283
FRA00902;1890;21.6588943211734
FRA40378;1884;21.7021034678795
FRA40606;1861;21.7231942575146
FRA20057;1762;33.2083156554943
FRA40733;1848;31.3000409332788
FRA02203;1876;19.03829634932
FRA01901;1866;18.7310569498069
FRA40403;1883;25.5621118012422
FRA01701;1847;29.9342105263158
FRA40046;1882;28.6228458887248
FRA05201;1856;24.239921976593
FRA40480;1884;20.1915407854985
FRA00503;1854;26.2149578999505
FRA06101;1848;26.9833585476551
FRA03102;1866;15.9172321228842
FRA40730;1862;19.0744106787844
FRA03201;1887;24.4871528678951
FRA41162;1858;17.6715545427524
FRA40479;1872;27.8139211136891
FRA41167;1867;15.9589971594418
FRA40098;1884;20.0369206598586
FRA20029;1769;35.0636079249218
FRA40637;1867;18.9071789686552
FRA40320;1879;19.6847496206373
FRA40420;1870;26.5424506654429
FRA04202;1912;19.5605262416542
FRA40175;1898;19.859649122807
FRA06001;1902;19.2350633675317
FRA40094;1892;23.6523712933449
FRA41020;1865;16.3126701570681
FRA40382;1879;26.0041680025649
FRA40319;1866;19.0785123966942
FRA03601;1913;42.4216892596455
FRA40300;1869;23.5999060812397
FRA40084;1886;17.0251091703057
FRA20006;1760;35.2021653543307
FRA40139;1854;30.2912042745582
FRA40375;1873;19.6758398856326
FRA40722;1862;26.1632786885246
FRA20099;1787;29.3333333333333
FRA40644;1862;18.7680169571361
FRA40167;1889;19.0563975517342
FRA01602;1893;21.4239888423989
FRA40133;1850;25.9016970861351
FRA20027;1786;39.6194779116466
FRA20096;1782;39.7726491204867
FRA40018;1877;29.5621198957428
