;year;avgsentlen
FRA40364;1858.0;35.49965588437715
FRA41029;1867.0;18.37944968250914
FRA40443;1843.0;24.21987393400074
FRA41160;1860.0;14.913185707096124
FRA40045;1887.0;30.523003701745107
FRA04002;1898.0;19.408861135890575
FRA40140;1855.0;29.86934673366834
FRA40014;1877.0;19.966462637082376
FRA04501;1908.0;23.52288845905867
FRA40656;1885.0;19.246287475483328
FRA20041;1766.0;42.210769980506825
FRA40444;1845.0;25.99465533781006
FRA40634;1862.0;20.744066898298097
FRA06301;1884.0;13.146238558352403
FRA40010;1852.0;20.04611528822055
FRA40412;1874.0;24.56696795398521
FRA40645;1862.0;17.961462839166337
FRA20000;1794.0;42.46242774566474
FRA40631;1869.0;21.729238597128838
FRA40176;1899.0;25.585086633663366
FRA07601;1913.0;18.09483340078241
FRA40029;1873.0;24.758706467661693
FRA40006;1882.0;28.735961768219834
FRA02501;1883.0;24.516685520361992
FRA40147;1890.0;22.053524804177545
FRA40370;1876.0;19.528719229397076
FRA20062;1797.0;25.94141689373297
FRA41150;1881.0;19.533527696793
FRA03703;1840.0;24.93915533285612
FRA40635;1872.0;17.270392278953924
FRA20092;1782.0;22.36055810787817
FRA40736;1842.0;25.268322546790273
FRA40099;1878.0;16.789676616915422
FRA40301;1881.0;24.11527377521614
FRA20050;1787.0;28.598273832875638
FRA40605;1868.0;19.519782508098103
FRA40628;1843.0;23.183327761060962
FRA01903;1874.0;19.04327485380117
FRA40108;1889.0;19.556676272814602
FRA40738;1854.0;26.178894472361808
FRA40571;1841.0;23.617551462621886
FRA40417;1874.0;22.679535907181435
FRA04003;1866.0;23.023440603893523
FRA40610;1846.0;21.171755725190838
FRA40632;1868.0;16.634091793076625
FRA40142;1857.0;21.864808775570708
FRA20020;1796.0;18.556339183204855
FRA40565;1842.0;21.854226475279106
FRA40717;1897.0;20.065344749887338
FRA02001;1912.0;18.734234234234233
FRA40044;1898.0;30.493111366245696
FRA40027;1873.0;29.369473684210526
FRA41025;1872.0;18.869134272882143
FRA01203;1845.0;17.693352919574
FRA40082;1869.0;18.02018163471241
FRA20086;1761.0;22.54283965728274
FRA20054;1791.0;23.099802371541504
FRA40034;1869.0;32.63747703612982
FRA40313;1859.0;21.679494626778972
FRA02803;1899.0;26.053140096618357
FRA20030;1761.0;36.96830188679245
FRA03003;1894.0;16.09396876682822
FRA20055;1767.0;27.82253086419753
FRA01101;1890.0;19.874357326478147
FRA20045;1787.0;28.61129411764706
FRA01902;1869.0;18.300825975505553
FRA20067;1785.0;23.67574931880109
FRA40737;1865.0;27.284927066450567
FRA01702;1857.0;37.94214876033058
FRA40735;1845.0;23.668039538714993
FRA40624;1859.0;18.447916666666668
FRA20047;1772.0;23.161290322580644
FRA20026;1778.0;23.009515444298053
FRA20037;1764.0;27.593038821954483
FRA41156;1870.0;20.71188811188811
FRA40019;1881.0;27.374733475479744
FRA40055;1888.0;19.332292750607007
FRA40414;1893.0;25.8888238736103
FRA20090;1764.0;15.767058552328262
FRA00902;1890.0;21.658894321173374
FRA40378;1884.0;21.70210346787948
FRA40606;1861.0;21.72319425751458
FRA20057;1762.0;33.208315655494275
FRA40733;1848.0;31.300040933278755
FRA02203;1876.0;19.03829634931997
FRA01901;1866.0;18.73105694980695
FRA40403;1883.0;25.562111801242235
FRA01701;1847.0;29.93421052631579
FRA40046;1882.0;28.622845888724765
FRA05201;1856.0;24.239921976592978
FRA40480;1884.0;20.19154078549849
FRA00503;1854.0;26.21495789995047
FRA06101;1848.0;26.98335854765507
FRA03102;1866.0;15.917232122884199
FRA40730;1862.0;19.074410678784435
FRA03201;1887.0;24.487152867895148
FRA41162;1858.0;17.671554542752403
FRA40479;1872.0;27.813921113689094
FRA41167;1867.0;15.958997159441768
FRA40098;1884.0;20.036920659858602
FRA20029;1769.0;35.06360792492179
FRA40637;1867.0;18.907178968655206
FRA40320;1879.0;19.68474962063733
FRA40420;1870.0;26.542450665442864
FRA04202;1912.0;19.560526241654223
FRA40175;1898.0;19.859649122807017
FRA06001;1902.0;19.235063367531684
FRA40094;1892.0;23.652371293344924
FRA41020;1865.0;16.312670157068062
FRA40382;1879.0;26.004168002564924
FRA40319;1866.0;19.078512396694215
FRA03601;1913.0;42.42168925964546
FRA40300;1869.0;23.599906081239727
FRA40084;1886.0;17.025109170305676
FRA20006;1760.0;35.20216535433071
FRA40139;1854.0;30.291204274558158
FRA40375;1873.0;19.675839885632595
FRA40722;1862.0;26.16327868852459
FRA20099;1787.0;29.333333333333332
FRA40644;1862.0;18.76801695713613
FRA40167;1889.0;19.05639755173419
FRA01602;1893.0;21.423988842398884
FRA40133;1850.0;25.901697086135126
FRA20027;1786.0;39.619477911646584
FRA20096;1782.0;39.77264912048671
FRA40018;1877.0;29.562119895742832
FRA40462;1851.0;24.635602890833017
FRA40312;1858.0;22.65809379727685
FRA20033;1759.0;27.324827586206897
FRA41163;1870.0;12.861472200469851
FRA41158;1869.0;18.597914777878515
FRA20078;1776.0;29.815363307053058
FRA00302;1894.0;17.944590474187784
FRA40136;1853.0;26.95054484492875
FRA40458;1866.0;22.17678381256656
FRA40568;1845.0;21.509090909090908
FRA40110;1861.0;25.993947368421054
FRA40459;1842.0;24.877747904475722
FRA40023;1872.0;23.29380053908356
FRA40305;1868.0;21.958090480155427
FRA01601;1887.0;19.11351186853317
FRA41165;1867.0;14.843031440638198
FRA41159;1869.0;19.141537898875377
FRA03802;1846.0;26.728841686027216
FRA40404;1890.0;38.833231521075135
FRA03702;1867.0;21.57407793290269
FRA20023;1791.0;46.80831329440055
FRA40349;1882.0;18.969158565202815
FRA40415;1888.0;28.407254561251086
FRA40372;1872.0;20.10182481751825
FRA40131;1849.0;28.44502893214098
FRA40316;1879.0;20.157916841663166
FRA40135;1851.0;26.68990321736856
FRA20072;1758.0;37.62243667068758
FRA40607;1857.0;15.40271546635183
FRA40482;1878.0;19.272558139534883
FRA40059;1885.0;17.486466305768154
FRA40623;1852.0;22.980732544830218
FRA20036;1767.0;34.23560209424084
FRA02401;1904.0;20.791960507757405
FRA41006;1889.0;17.740393077148724
FRA07501;1897.0;18.636439267886857
FRA40734;1884.0;17.990158172231986
FRA40315;1879.0;21.14037375054324
FRA02702;1883.0;22.330578512396695
FRA20022;1791.0;48.537654320987656
FRA20001;1794.0;25.328739359546006
FRA40460;1842.0;25.62220566318927
FRA40424;1889.0;16.520107646999087
FRA40346;1880.0;17.524148851939827
FRA04901;1845.0;18.26571709233792
FRA40630;1863.0;16.746782209761694
FRA41005;1881.0;17.51640491369927
FRA03801;1843.0;28.050147492625367
FRA40369;1888.0;21.279786829082603
FRA40105;1887.0;20.905122067975107
FRA20003;1789.0;29.32088520055325
FRA20031;1768.0;29.150163220892274
FRA40461;1842.0;26.349181298086407
FRA04201;1904.0;20.056511056511056
FRA06701;1882.0;18.75844679778114
FRA40051;1881.0;28.38681948424069
FRA40031;1865.0;20.669408962979
FRA40178;1871.0;19.157211282597125
FRA40640;1884.0;55.25258799171843
FRA20051;1799.0;26.057610993657505
FRA40572;1841.0;26.207881512827296
FRA41009;1888.0;19.62191567903633
FRA40309;1858.0;22.213169155532267
FRA40647;1890.0;20.53227344992051
FRA40003;1857.0;36.2522816166884
FRA40638;1879.0;26.073170731707318
FRA03301;1866.0;22.64559748427673
FRA40416;1873.0;24.977665402444163
FRA40411;1887.0;27.548081477972524
FRA40642;1862.0;19.066941140591645
FRA40102;1891.0;26.469787234042553
FRA00602;1886.0;18.199328961415283
FRA40377;1878.0;21.10097719869707
FRA00502;1852.0;22.50373069581815
FRA02503;1879.0;26.642857142857142
FRA40033;1869.0;28.411539687599618
FRA40408;1886.0;26.94080681127103
FRA40148;1888.0;21.205959112657677
FRA40641;1862.0;17.855045871559632
FRA41157;1870.0;22.453812420427216
FRA40174;1873.0;20.88880606286495
FRA20013;1771.0;46.8795918367347
FRA40012;1868.0;18.83895131086142
FRA40171;1883.0;17.541509433962265
FRA03001;1885.0;19.087699635752312
FRA03901;1869.0;22.063256135499483
FRA20014;1772.0;22.851772287862513
FRA41166;1867.0;15.460969122238927
FRA02402;1900.0;19.00081251269551
FRA41184;1886.0;18.568705200549033
FRA40728;1907.0;28.238095238095237
FRA40477;1881.0;20.903945795137506
FRA40037;1863.0;23.913700470114172
FRA40471;1848.0;27.654019873532068
FRA40168;1877.0;20.01727070522046
FRA05301;1906.0;22.01678478179784
FRA01303;1862.0;21.765507600908613
FRA40177;1879.0;19.81467081389321
FRA06501;1897.0;15.73270013568521
FRA05601;1909.0;15.95449417074088
FRA20079;1798.0;17.61336032388664
FRA40450;1846.0;25.99224030037547
FRA03701;1872.0;23.229285573705962
FRA40731;1857.0;21.631834215167547
FRA40380;1866.0;19.296946564885495
FRA04102;1863.0;23.371390194761585
FRA40419;1886.0;29.161918328584996
FRA40379;1867.0;20.695756605284227
FRA40127;1842.0;21.38927905976781
FRA40740;1843.0;24.526542324246773
FRA40472;1849.0;35.43041109460129
FRA00601;1881.0;17.04851500544239
FRA04401;1916.0;18.52944909875603
FRA20053;1787.0;20.96475176241188
FRA40447;1875.0;21.809766763848398
FRA40567;1840.0;22.931933099961103
FRA01402;1874.0;23.6005291005291
